ID_Cliente,TaxaMediaPonderada,VolumeMediaMensal,VolumeTotal,VarianciaTaxa,VolatilidadeMensal
10093,0.03030496229257746,1877.6923076923076,24410.0,0.0006330788143519455,
10123,0.01868292136126904,185.3846153846154,2410.0,0.0006330788143519455,
10123,0.018425384413373873,53.84615384615385,700.0,0.0006330788143519455,
10123,0.04,7.6923076923076925,100.0,0.0006330788143519455,
10124,0.03410471503303792,3994.230769230769,51925.0,0.0006330788143519455,
10124,0.022902713713453426,2300.0,29900.0,0.0006330788143519455,
10124,0.015650873617413644,153894.6923076923,2000631.0,0.0006330788143519455,
1014,0.043516060614392366,269.2307692307692,3500.0,0.0006330788143519455,
1015,0.026488385918094857,5786.538461538462,75225.0,0.0006330788143519455,
1015,0.039,360.0,4680.0,0.0006330788143519455,
1016,0.0175,79.83846153846154,1037.9,0.0006330788143519455,
1016,0.01870100361399024,36248.875384615385,471235.38,0.0006330788143519455,
1016,0.009899999999999999,468.81692307692316,6094.620000000001,0.0006330788143519455,
1016,0.056200000000000014,3736.8430769230768,48578.96,0.0006330788143519455,
1016,0.062400000000000004,2783.7584615384617,36188.86,0.0006330788143519455,
1016,0.0204,695.2538461538461,9038.3,0.0006330788143519455,
1016,0.027799999999999995,581.7153846153847,7562.3,0.0006330788143519455,
1016,0.0313,542.4307692307692,7051.599999999999,0.0006330788143519455,
1016,0.0348,630.213846153846,8192.779999999999,0.0006330788143519455,
1016,0.037599999999999995,690.6384615384616,8978.300000000001,0.0006330788143519455,
1016,0.042800000000000005,1236.8084615384614,16078.509999999998,0.0006330788143519455,
1016,0.046900000000000004,712.2307692307693,9259.0,0.0006330788143519455,
1016,0.0501,553.8784615384616,7200.42,0.0006330788143519455,
1016,0.0175,802.4315384615385,10431.61,0.0006330788143519455,
10189,0.02619494456773106,161.53846153846155,2100.0,0.0006330788143519455,
10189,0.020667292185563697,573.0769230769231,7450.0,0.0006330788143519455,
1018,0.024930482673964614,54504.016923076924,708552.22,0.0006330788143519455,
1018,0.029861630467717386,7178.338461538461,93318.4,0.0006330788143519455,
1018,0.018138576830497227,10012.673846153846,130164.76000000001,0.0006330788143519455,
1018,0.023074079781269664,7145.91,92896.83,0.0006330788143519455,
101,0.0,816.9230769230769,10620.0,0.0006330788143519455,
101,0.0,124927.58076923077,1624058.55,0.0006330788143519455,
1021,0.024678357561282206,63149.376153846155,820941.89,0.0006330788143519455,
10232,0.03270932620081883,2677.1984615384617,34803.58,0.0006330788143519455,
10232,0.03042809381827176,1075.3846153846155,13980.0,0.0006330788143519455,
10246,0.049162544581161295,455.0,5915.0,0.0006330788143519455,
10251,0.03731697301026987,15.76923076923077,205.0,0.0006330788143519455,
10251,0.026324954228976457,60.0,780.0,0.0006330788143519455,
10259,0.03711923823277059,4170.7692307692305,54220.0,0.0006330788143519455,
1025,0.0355,35.38461538461539,460.0,0.0006330788143519455,
1025,0.09445104214170859,301.61538461538464,3921.0,0.0006330788143519455,
1025,0.06522954836123558,668.1915384615385,8686.49,0.0006330788143519455,
1025,0.06351237408889433,10118.395384615384,131539.13999999998,0.0006330788143519455,
1025,0.023899999999999998,23.34307692307692,303.46,0.0006330788143519455,
1025,0.0279,95.53846153846153,1242.0,0.0006330788143519455,
1025,0.02003329894991357,305.36846153846153,3969.79,0.0006330788143519455,
1025,0.0266420647218096,23724.893846153846,308423.62,0.0006330788143519455,
10261,0.05,10.0,130.0,0.0006330788143519455,
10261,0.0,21.53846153846154,280.0,0.0006330788143519455,
1027,0.0,821.9230769230769,10685.0,0.0006330788143519455,
10289,0.0001,38.46153846153846,500.0,0.0006330788143519455,
10289,0.0004150467861590343,5895.384615384615,76640.0,0.0006330788143519455,
1028,0.021099193872010046,4557.692307692308,59250.0,0.0006330788143519455,
10354,0.1189,404.0,5252.0,0.0006330788143519455,
10354,0.12640000000000004,15465.340769230768,201049.43,0.0006330788143519455,
10354,0.08890000000000002,227.8692307692308,2962.3,0.0006330788143519455,
10354,0.1018,548.3076923076923,7128.0,0.0006330788143519455,
10354,0.0649,52.46153846153846,682.0,0.0006330788143519455,
10354,0.024,11.0,143.0,0.0006330788143519455,
10354,0.059000000000000004,41.73076923076923,542.5,0.0006330788143519455,
10354,0.013899999999999997,249.64615384615385,3245.4,0.0006330788143519455,
10354,0.1164,274.15384615384613,3564.0,0.0006330788143519455,
10354,0.1239,11.0,143.0,0.0006330788143519455,
10354,0.13140000000000002,274.15384615384613,3564.0,0.0006330788143519455,
10354,0.053399999999999996,32.30769230769231,420.0,0.0006330788143519455,
10354,0.060899999999999996,52.46153846153846,682.0,0.0006330788143519455,
10354,0.0684,269.2307692307692,3500.0,0.0006330788143519455,
10354,0.0759,42.30769230769231,550.0,0.0006330788143519455,
10354,0.0834,103.61538461538461,1347.0,0.0006330788143519455,
10354,0.038900000000000004,16.153846153846153,210.0,0.0006330788143519455,
10354,0.038900000000000004,161.92307692307693,2105.0,0.0006330788143519455,
10354,0.0709,1182.3692307692306,15370.8,0.0006330788143519455,
10354,0.11139999999999997,2509.4615384615386,32623.0,0.0006330788143519455,
10354,0.0484,1822.9461538461537,23698.3,0.0006330788143519455,
10354,0.0559,1683.7307692307693,21888.5,0.0006330788143519455,
10354,0.0634,1681.076923076923,21854.0,0.0006330788143519455,
10354,0.07840000000000001,2253.8615384615387,29300.2,0.0006330788143519455,
10354,0.0964,1104.5776923076924,14359.51,0.0006330788143519455,
10354,0.1039,407.6923076923077,5300.0,0.0006330788143519455,
10354,0.03389999999999999,1490.630769230769,19378.199999999997,0.0006330788143519455,
